german,korean,tags,lang
"der Zahn","이, 치아","noun star3","de-DE"
"zehnt","열번째의","other star3","de-DE"
"das Zeichen","표시, 표","noun star3","de-DE"
"zeigen","가르쳐주다, 알리다","other star3","de-DE"
"die Zeit","시간, 시대","noun star3","de-DE"
"die Zeitung","신문","noun star3","de-DE"
"das Zentrum","중심","noun star3","de-DE"
"der Zettel","종이 쪽지, 삐라","noun star3","de-DE"
"das Zeug","도구","noun star3","de-DE"
"ziemlich","상당한, 어지간한","other star3","de-DE"
"der Zigarette","담배","noun star3","de-DE"
"das Zimmer","방","noun star3","de-DE"
"der Zucker","설탕","noun star3","de-DE"
"zuerst","최초에, 맨먼저","other star3","de-DE"
"zufrieden","만족한","other star3","de-DE"
"der Zug","기차","noun star3","de-DE"
"zuhören","귀기울이다","other star3","de-DE"
"zurück","뒤로","other star3","de-DE"
"zusammen","함께","other star3","de-DE"
"zweit","2번째의","other star3","de-DE"
